SNo.,University Name,Country,City,International Ranking,Link
83,University of the Basque Country,Spain,"Leioa, Bizkaia",#231,https://www.usnews.com/education/best-global-universities/university-of-the-basque-country-502718
84,Communaute d'Universites et Etablissements d'Aquitaine (ComUE),France,Bordeaux,#234,https://www.usnews.com/education/best-global-universities/communaute-duniversites-et-etablissements-daquitaine-comue-529382
85,Polytechnic University of Turin,Italy,Turin,#234,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-turin-502577
86,University of Salerno,Italy,Fisciano,#238,https://www.usnews.com/education/best-global-universities/university-of-salerno-502531
87,University of Wollongong,Australia,"Wollongong, New South Wales",#238,https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
88,University of Victoria,Canada,"Victoria, British Columbia",#240,https://www.usnews.com/education/best-global-universities/university-of-victoria-499967
89,University of Newcastle,Australia,"Callaghan, New South Wales",#242,https://www.usnews.com/education/best-global-universities/university-of-newcastle-500363
90,Simon Fraser University,Canada,"Burnaby, British Columbia",#244,https://www.usnews.com/education/best-global-universities/simon-fraser-university-499981
91,VU University Amsterdam,Netherlands,Amsterdam,#246,https://www.usnews.com/education/best-global-universities/vu-university-amsterdam-500669
92,University of Liverpool,United Kingdom,Liverpool,#248,https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611
